,role,location,url
92,Revenue Accounting Operations Manager,New York,https://www.lifeatspotify.com/jobs/revenue-accounting-operations-manager
93,"iOS Engineer, Personalization",New York or Remote Americas,https://www.lifeatspotify.com/jobs/ios-engineer-personalization
94,Music Business Development Manager,New York,https://www.lifeatspotify.com/jobs/music-business-development-manager
95,"Policy Enforcement Ops Manager, Policy & Investigations Lead T&S",New York or Remote Americas,https://www.lifeatspotify.com/jobs/policy-enforcement-ops-manager-policy-investigations-lead-ts
96,"Product Designer, Ads Design System",New York or Remote Americas,https://www.lifeatspotify.com/jobs/product-designer-ads-design-system
97,"Senior Machine Learning Engineer, Native Ads",New York or Remote Americas,https://www.lifeatspotify.com/jobs/machine-learning-engineer-native-ads
98,"Senior Analyst, Procurement Operations",New York,https://www.lifeatspotify.com/jobs/senior-analyst-procurement-operations
99,"Senior Data Scientist, Global Strategy Operations, People",London,https://www.lifeatspotify.com/jobs/senior-data-scientist-global-strategy-operations-people
100,"User Researcher, Freemium",London or Remote EMEA,https://www.lifeatspotify.com/jobs/user-researcher-freemium
101,"Senior User Researcher, Commerce Platform",London or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-user-researcher-commerce-platform
102,"Backend Engineer, Experience",New York,https://www.lifeatspotify.com/jobs/backend-engineer-experience
103,"Director of Engineering, Experience",New York or Remote Americas,https://www.lifeatspotify.com/jobs/director-of-engineering-experience-2
104,"Senior Technical Product Manager, Sales Operations, Advertising",New York,https://www.lifeatspotify.com/jobs/senior-technical-product-manager-sales-operations-advertising
105,"Manager, Indirect Tax, Compliance",Stockholm,https://www.lifeatspotify.com/jobs/manager-indirect-tax-compliance
106,"Senior Full Stack Engineer, Backstage",Stockholm,https://www.lifeatspotify.com/jobs/senior-full-stack-engineer-backstage-2
107,"Android Engineer, User Platform",Berlin or Remote EMEA,https://www.lifeatspotify.com/jobs/android-engineer-user-platform
108,"Associate, Insights & Activation, London",London,https://www.lifeatspotify.com/jobs/associate-insights-activation-london
109,"Senior Data Scientist, Experimentation",Stockholm or Remote EMEA,https://www.lifeatspotify.com/jobs/data-scientist-experimentation
110,"Client Partner, CPG Beauty",New York,https://www.lifeatspotify.com/jobs/client-partner-cpg-beauty
111,Studios Marketing Manager,Los Angeles,https://www.lifeatspotify.com/jobs/studios-marketing-manager-2
112,"Senior Product Manager, Search Infrastructure",Amsterdam,https://www.lifeatspotify.com/jobs/senior-product-manager-search-infrastructure-3
113,"Senior Product Manager, Search Infrastructure",Stockholm,https://www.lifeatspotify.com/jobs/senior-product-manager-search-infrastructure-2
114,"Senior Product Manager, Search Infrastructure",London,https://www.lifeatspotify.com/jobs/senior-product-manager-search-infrastructure
115,"Senior Product Manager, Platform & Partner Experience, Consumer Experience",Amsterdam or Remote EMEA,https://www.lifeatspotify.com/jobs/senior-product-manager-platform-partner-experience-consumer-experience
116,Senior Payroll Specialist,London,https://www.lifeatspotify.com/jobs/payroll-specialist
117,"Senior User Researcher, Innovation",London or Remote EMEA,https://www.lifeatspotify.com/jobs/user-researcher-innovation
118,"Site Reliability Engineer, Podsights",New York or Remote Americas,https://www.lifeatspotify.com/jobs/site-reliability-engineer-podsights
119,"Head of Internal Communications, Strategy Operations",Stockholm,https://www.lifeatspotify.com/jobs/head-of-internal-communications-strategy-operations-2
120,"Head of Internal Communications, Strategy Operations",London,https://www.lifeatspotify.com/jobs/head-of-internal-communications-strategy-operations
121,Consumer Product Marketing Lead,London,https://www.lifeatspotify.com/jobs/consumer-product-marketing-lead
122,"Software Engineer, Android Tooling",London or Remote EMEA,https://www.lifeatspotify.com/jobs/software-engineer-android-tooling
123,"iOS Engineer, Consumer Experience",Barcelona or Remote EMEA,https://www.lifeatspotify.com/jobs/ios-engineer-consumer-experience-2
124,Editorial Coordinator South Asia Subset,Dubai,https://www.lifeatspotify.com/jobs/editorial-coordinator-sas
125,Music Editor Philippines,Singapore,https://www.lifeatspotify.com/jobs/music-editor-philippines
126,"Project Manager, Publishing Operations APAC",Singapore,https://www.lifeatspotify.com/jobs/project-manager-publishing-operations-apac
127,"Campaign Management Lead, Business Operations",New York,https://www.lifeatspotify.com/jobs/campaign-management-lead-business-operations-2
