role,location,url
"Summer Internship, Product Manager | Freemium Mission (US)",New York or Remote Americas,https://www.lifeatspotify.com/jobs/summer-internship-product-manager-freemium-mission-us
"Client Partner, Agency, UK",London,https://www.lifeatspotify.com/jobs/client-partner-agency-uk
Network Engineer,New York,https://www.lifeatspotify.com/jobs/network-engineer
"Global Category Development Officer, Tech & Telco",New York or Remote Americas,https://www.lifeatspotify.com/jobs/global-category-development-officer-tech-telco
"Client Partner, AMP",Los Angeles,https://www.lifeatspotify.com/jobs/client-partner-amp
Privacy Product Marketing Manager,New York,https://www.lifeatspotify.com/jobs/privacy-product-marketing-manager
"Senior Manager, Licensing Finance, FP&A",New York,https://www.lifeatspotify.com/jobs/senior-manager-licensing-finance-fpa
Payment Growth Optimisation Lead India,Mumbai,https://www.lifeatspotify.com/jobs/payment-growth-optimisation-lead-india
"Site Reliability Engineer, AdTech",New York or Remote Americas,https://www.lifeatspotify.com/jobs/site-reliability-engineer-adtech
AV Engineer,Singapore,https://www.lifeatspotify.com/jobs/av-engineer-apac
"Partnership Lead, Backstage",New York or Remote ESTAmericas,https://www.lifeatspotify.com/jobs/partnership-lead-backstage
"Group Product Manager, Self, Serve AdTech",New York or Remote Americas,https://www.lifeatspotify.com/jobs/group-product-manager-self-serve-adtech
"Digital Account Manager, Mumbai",Mumbai,https://www.lifeatspotify.com/jobs/digital-account-manager-mumbai
"Digital Account Manager, Delhi",New Delhi,https://www.lifeatspotify.com/jobs/digital-account-manager
"Senior Partner Manager: Sports, Comedy and Entertainment",Los Angeles,https://www.lifeatspotify.com/jobs/senior-partner-manager-sports-comedy-and-entertainment
"Director, Tax",New York,https://www.lifeatspotify.com/jobs/director-tax
"Director of Product, Platform Developer Experience",London,https://www.lifeatspotify.com/jobs/director-of-product-platform-developer-experience
Regional Client Partner,Singapore,https://www.lifeatspotify.com/jobs/regional-client-partner
Editor Music and Culture,Mumbai,https://www.lifeatspotify.com/jobs/editor-music-and-culture
Campaign Manager ANZ,Sydney,https://www.lifeatspotify.com/jobs/campaign-manager-ad-ops-anz
"Account Manager, Advertising",Los Angeles,https://www.lifeatspotify.com/jobs/account-manager-advertising
"Senior Backend/ Full Stack Systems Engineer, Sales Operations, Advertising",New York,https://www.lifeatspotify.com/jobs/senior-backend-full-stack-systems-engineer-sales-operations-advertising
"Head of Campaign Management, Americas",New York,https://www.lifeatspotify.com/jobs/head-of-campaign-management-americas
"Senior Machine Learning Engineer, Content Safety Analysis",Dublin,https://www.lifeatspotify.com/jobs/senior-machine-learning-engineer-content-safety-analysis
"Programmatic Lead, Advertising Sales",São Paulo,https://www.lifeatspotify.com/jobs/programmatic-lead-advertising-sales-2
"Senior Machine Learning Engineer, AdTech",New York or Remote Americas,https://www.lifeatspotify.com/jobs/senior-machine-learning-engineer-adtech
"Client Partner, Partner Sales, London (9 month FTC)",London,https://www.lifeatspotify.com/jobs/client-partner-partner-sales-london-9-month-ftc
Senior Growth Account Manager,São Paulo,https://www.lifeatspotify.com/jobs/senior-growth-account-manager
"Team Lead, Account Management, Autos & Entertainment",Los Angeles,https://www.lifeatspotify.com/jobs/team-lead-account-management-autos-entertainment
"US Agency Development Lead, Podcast",Los Angeles,https://www.lifeatspotify.com/jobs/us-agency-development-lead-podcast
"Head of Podcast Sales, International, Spotify Ad Sales",London,https://www.lifeatspotify.com/jobs/head-of-podcast-sales-international-spotify-ad-sales
Client Partner India,Mumbai,https://www.lifeatspotify.com/jobs/client-partner-india
"Senior Backend Engineer, Content Safety Analysis",Dublin,https://www.lifeatspotify.com/jobs/senior-backend-engineer-content-safety-analysis
"Senior Full Stack Engineer, Content Safety Analysis",Dublin,https://www.lifeatspotify.com/jobs/senior-full-stack-engineer-content-safety-analysis
