role,exp_level,location,url
Senior Packaging Engineer (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4919952-senior-packaging-engineer-all-genders/
Senior Packaging Development Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4945142-senior-packaging-development-manager-all-genders/
Store Manager (all genders) Frankfurt am Main,Leadership,Frankfurt am Main,https://jobs.zalando.com/en/jobs/4987665-store-manager-all-genders-frankfurt-am-main/
Senior Sortimentsmanager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4925380-senior-sortimentsmanager-all-genders/
Head of Product - Member Acquisition Zalando Plus (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4927919-head-of-product-member-acquisition-zalando-plus-all-genders/
Account Manager E-Commerce Business DACH (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4930461-account-manager-e-commerce-business-dach-m-f-d/
(Junior) Technical Support Manager - 1st Level (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4939167--junior-technical-support-manager-1st-level-m-w-d/
(Junior) Technical Support Manager - 1st Level (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4939169--junior-technical-support-manager-1st-level-m-f-d/
Head of Finance (m/w/d),Leadership,Ansbach,https://jobs.zalando.com/en/jobs/4939299-head-of-finance-m-w-d/
Engineering Manager- Product Data Quality,Professional Level,Dublin,https://jobs.zalando.com/en/jobs/4984246-engineering-manager-product-data-quality/
Team Lead Solution Architect (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4950369-team-lead-solution-architect-all-genders/
Software Engineer - Partner Tech (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4950374-software-engineer-partner-tech-all-genders/
Senior Applied Scientist - Content and Ad Economics (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4955831-senior-applied-scientist-content-and-ad-economics-all-genders/
Senior Technical Project Manager (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4955842-senior-technical-project-manager-m-f-d/
Junior E-Commerce Manager Romania & Hungary (all genders),Entry Level,Berlin,https://jobs.zalando.com/en/jobs/4956417-junior-e-commerce-manager-romania-hungary-all-genders/
Application Manager (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4964263-application-manager-m-w-d/
Application Manager (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4964264-application-manager-m-f-d/
IT Technician (All genders),Professional Level,Nogarole Rocca,https://jobs.zalando.com/en/jobs/4964674-it-technician-all-genders/
Lead Content DACH (all genders) - Parental Leave Cover (12 months),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4964853-lead-content-dach-all-genders-parental-leave-cover-12-months/
DigiTech (all genders) - Zalando Fashion Studios,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4968305-digitech-all-genders-zalando-fashion-studios/
Sales Assistant (all genders) in Part Time in Frankfurt/Main,"Entry Level, Professional Level",Frankfurt am Main,https://jobs.zalando.com/en/jobs/4971049-sales-assistant-all-genders-in-part-time-in-frankfurt-main/
Warehouse Clerk (all genders) Part Time in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974434-warehouse-clerk-all-genders-part-time-in-bielefeld/
Technical Support Manager - 1st Level (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4974692-technical-support-manager-1st-level-m-f-d/
Finanzbuchhalter / Specialist Payment Run (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4977587-finanzbuchhalter-specialist-payment-run-all-genders/
Junior Software Engineer- Zalando Payments (all genders),"Entry Level, Professional Level",Dortmund,https://jobs.zalando.com/en/jobs/4977540-junior-software-engineer-zalando-payments-all-genders/
Supervisor Verkaufsfläche (all genders),Professional Level,Düsseldorf,https://jobs.zalando.com/en/jobs/4988370-supervisor-verkaufsfl-che-all-genders/
Social Media Photo & Video Content Creator (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4953078-social-media-photo-video-content-creator-all-genders/
Hausmeister (all genders),Entry Level,Ludwigsfelde,https://jobs.zalando.com/en/jobs/4964500-hausmeister-all-genders/
Senior Software Engineer - Partner Tech (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4950370-senior-software-engineer-partner-tech-all-genders/
Floor Manager (all genders),"Professional Level, Leadership",Leipzig,https://jobs.zalando.com/en/jobs/4882416-floor-manager-all-genders/
Senior Scala Engineer - Personalized Navigation,Professional Level,Dublin,https://jobs.zalando.com/en/jobs/4622847-senior-scala-engineer-personalized-navigation/
E-Commerce Application Manager (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4630345-e-commerce-application-manager-m-f-d/
Product Safety Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4636618-product-safety-manager-all-genders/
Principal Machine Learning Engineer - Customer Profile & Personalisation (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4639787-principal-machine-learning-engineer-customer-profile-personalisation-all-genders/
Senior Android Engineer - Sustainability and D&I (All Genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4668012-senior-android-engineer-sustainability-and-d-i-all-genders/
Senior Software Engineer - Communication Channels (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4669863-senior-software-engineer-communication-channels-all-genders/
Senior Applied Scientist - ADP - Scalability (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4678201-senior-applied-scientist-adp-scalability-all-genders/
Principal Product Security Expert (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4709490-principal-product-security-expert-all-genders/
Engineering Manager - Purchase Risk Management (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4713281-engineering-manager-purchase-risk-management-all-genders/
Senior Operations Manager*in / Bereichsleiter Logistik (all genders),Professional Level,Erfurt,https://jobs.zalando.com/en/jobs/4713722-senior-operations-manager-in-bereichsleiter-logistik-all-genders/
"Senior Marketing Manager, Switzerland (all genders)",Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4715047-senior-marketing-manager-switzerland-all-genders/
"Senior Marketing Manager, Schweiz (all genders)",Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4719942-senior-marketing-manager-schweiz-all-genders/
Principal Applied Scientist (Lounge) - Pricing and Forecasting (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4719423-principal-applied-scientist-lounge-pricing-and-forecasting-all-genders/
Senior Product Manager - Financial Management (all genders),Professional Level,Stockholm,https://jobs.zalando.com/en/jobs/4725790-senior-product-manager-financial-management-all-genders/
Senior Software Engineer - Media Platform (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4726255-senior-software-engineer-media-platform-all-genders/
Category Head - Lounge by Zalando (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4730796-category-head-lounge-by-zalando-all-genders/
Senior/Principal Product Analyst (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4871537-senior-principal-product-analyst-all-genders/
Senior Media Software Engineer - Brand Marketing (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4871650-senior-media-software-engineer-brand-marketing-all-genders/
"Duales Studium BWL - Spedition, Transport und Logistik 2023","Future Zalents - Internships & Working Students, Entry Level",Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4871803-duales-studium-bwl-spedition-transport-und-logistik-2023/
Recruiter Early Career (m/w/d),Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4877899-recruiter-early-career-m-w-d/
Recruiter Early Career (m/f/d),Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4877900-recruiter-early-career-m-f-d/
Hausmeister (all genders),Entry Level,Gießen,https://jobs.zalando.com/en/jobs/4881604-hausmeister-all-genders/
Trust & Safety Operations Lead - Platform Conformity (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4886783-trust-safety-operations-lead-platform-conformity-all-genders/
Assistant to Management Finance (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4936118-assistant-to-management-finance-all-genders/
Store Manager (all genders) Mannheim,Leadership,Mannheim,https://jobs.zalando.com/en/jobs/4889363-store-manager-all-genders-mannheim/
Retail Trainer (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4925379-retail-trainer-all-genders/
Security Incident Commander (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4912104-security-incident-commander-all-genders/
Senior Project Manager - Information Security (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4796637-senior-project-manager-information-security-all-genders/
Head of Group Corporate Tax & Transfer Pricing (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4806211-head-of-group-corporate-tax-transfer-pricing-all-genders/
Esperto di Manutenzione,Professional Level,Nogarole Rocca,https://jobs.zalando.com/en/jobs/1621966-esperto-di-manutenzione/
Junior Store Manager (all genders) Konstanz,Leadership,Konstanz,https://jobs.zalando.com/en/jobs/3711528-junior-store-manager-all-genders-konstanz/
Supervisor*in (all genders) Kassenbereich,Professional Level,Düsseldorf,https://jobs.zalando.com/en/jobs/3249350-supervisor-in-all-genders-kassenbereich/
Stellvertretender Filialleiter (all genders) Ulm,Leadership,Ulm,https://jobs.zalando.com/en/jobs/4810282-stellvertretender-filialleiter-all-genders-ulm/
Supervisor Verkaufsfläche (all genders),"Professional Level, Leadership",Berlin,https://jobs.zalando.com/en/jobs/3703188-supervisor-verkaufsfl-che-all-genders/
Floor Manager (all genders),"Professional Level, Leadership",Berlin,https://jobs.zalando.com/en/jobs/4544266-floor-manager-all-genders/
Junior Store Manager (all genders) Zalando,Leadership,"Bielefeld, Ulm, Münster, Mannheim, and 4 more",https://jobs.zalando.com/en/jobs/4982893-junior-store-manager-all-genders-zalando/
Customer Care Specialist for our French Market (all genders),Graduate / Entry Level,Berlin,https://jobs.zalando.com/en/jobs/4765146-customer-care-specialist-for-our-french-market-all-genders/
Customer Care Specialist for our Dutch Market (all genders),Graduate / Entry Level,Berlin,https://jobs.zalando.com/en/jobs/4765147-customer-care-specialist-for-our-dutch-market-all-genders/
Abteilungsleiter*in (all genders),Professional Level,Münster,https://jobs.zalando.com/en/jobs/4284979-abteilungsleiter-in-all-genders/
Lagerist (all genders) Teilzeit 15/Woche - Hamburg,"Entry Level, Professional Level",Hamburg,https://jobs.zalando.com/en/jobs/4333628-lagerist-all-genders-teilzeit-15-woche-hamburg/
HR Business Partner / Personalreferent (all genders) Zalando Logistics Mönchengladbach,Professional Level,Mönchengladbach,https://jobs.zalando.com/en/jobs/4715421-hr-business-partner-personalreferent-all-genders-zalando-logistics-m-nchengladbach/
Junior Customs Export Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4381900-junior-customs-export-manager-all-genders/
Supervisor (all genders) Kassenbereich,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4382545-supervisor-all-genders-kassenbereich/
Cash Manager (all genders) Kassenbereich,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4595018-cash-manager-all-genders-kassenbereich/
Senior Manager International Labor Relations (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4588900-senior-manager-international-labor-relations-all-genders/
Digital Marketing Manager (m/w/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4516086-digital-marketing-manager-m-w-d/
Senior Scala Engineer - Personalized Navigation,Professional Level,Dublin,https://jobs.zalando.com/en/jobs/4622847-senior-scala-engineer-personalized-navigation/
E-Commerce Application Manager (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4630345-e-commerce-application-manager-m-f-d/
Product Safety Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4636618-product-safety-manager-all-genders/
Principal Machine Learning Engineer - Customer Profile & Personalisation (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4639787-principal-machine-learning-engineer-customer-profile-personalisation-all-genders/
Senior Android Engineer - Sustainability and D&I (All Genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4668012-senior-android-engineer-sustainability-and-d-i-all-genders/
Senior Software Engineer - Communication Channels (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4669863-senior-software-engineer-communication-channels-all-genders/
Senior Applied Scientist - ADP - Scalability (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4678201-senior-applied-scientist-adp-scalability-all-genders/
Principal Product Security Expert (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4709490-principal-product-security-expert-all-genders/
Engineering Manager - Purchase Risk Management (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4713281-engineering-manager-purchase-risk-management-all-genders/
Senior Operations Manager*in / Bereichsleiter Logistik (all genders),Professional Level,Erfurt,https://jobs.zalando.com/en/jobs/4713722-senior-operations-manager-in-bereichsleiter-logistik-all-genders/
SAP Frontend Developer (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4839083-sap-frontend-developer-all-genders/
Senior Fullstack Engineer (Java/Kotlin) - Transport Technology (B2B) (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4841455-senior-fullstack-engineer-java-kotlin-transport-technology-b2b-all-genders/
Technik ds. Technologii Przepływu i Utrzymania Ruchu,Professional Level,Bydgoszcz,https://jobs.zalando.com/en/jobs/4854072-technik-ds-technologii-przep-ywu-i-utrzymania-ruchu/
Sachbearbeiter(in) Zoll / Customs Manager | Berlin (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4991335-sachbearbeiter-in-zoll-customs-manager-berlin-all-genders/
Mitarbeiter*in im Kundenservice für den Bereich französischsprachige Schweiz (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4866111-mitarbeiter-in-im-kundenservice-f-r-den-bereich-franz-sischsprachige-schweiz-all-genders/
Technik IT,Professional Level,Olsztynek,https://jobs.zalando.com/en/jobs/4991345-technik-it/
Senior Safety Specialist (all genders),Entry Level,Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4850740-senior-safety-specialist-all-genders/
Senior Backend Engineer - (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4852348-senior-backend-engineer-all-genders/
Abteilungsleiter (all genders),Professional Level,Erfurt,https://jobs.zalando.com/en/jobs/4866565-abteilungsleiter-all-genders/
Store Manager (all genders) Zalando Outlet Bielefeld,Leadership,Bielefeld,https://jobs.zalando.com/en/jobs/4987657-store-manager-all-genders-zalando-outlet-bielefeld/
Junior Store Manager (all genders) Zalando Outlet Bielefeld,Leadership,Bielefeld,https://jobs.zalando.com/en/jobs/4870301-junior-store-manager-all-genders-zalando-outlet-bielefeld/
Junior Store Manager (all genders) Zalando Outlet Bielefeld,Leadership,Bielefeld,https://jobs.zalando.com/en/jobs/4968355-junior-store-manager-all-genders-zalando-outlet-bielefeld/
Teamleiter (all genders) Lager,"Professional Level, Leadership",Bielefeld,https://jobs.zalando.com/en/jobs/4870401-teamleiter-all-genders-lager/
Backend Engineer - Recommerce,Professional Level,Helsinki,https://jobs.zalando.com/en/jobs/4870483-backend-engineer-recommerce/
Senior/Principal Product Analyst (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4871537-senior-principal-product-analyst-all-genders/
Senior Media Software Engineer - Brand Marketing (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4871650-senior-media-software-engineer-brand-marketing-all-genders/
"Duales Studium BWL - Spedition, Transport und Logistik 2023","Future Zalents - Internships & Working Students, Entry Level",Lahr/Schwarzwald,https://jobs.zalando.com/en/jobs/4871803-duales-studium-bwl-spedition-transport-und-logistik-2023/
Recruiter Early Career (m/w/d),Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4877899-recruiter-early-career-m-w-d/
Recruiter Early Career (m/f/d),Entry Level,Ansbach,https://jobs.zalando.com/en/jobs/4877900-recruiter-early-career-m-f-d/
Hausmeister (all genders),Entry Level,Gießen,https://jobs.zalando.com/en/jobs/4881604-hausmeister-all-genders/
Trust & Safety Operations Lead - Platform Conformity (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4886783-trust-safety-operations-lead-platform-conformity-all-genders/
Assistant to Management Finance (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4936118-assistant-to-management-finance-all-genders/
Store Manager (all genders) Mannheim,Leadership,Mannheim,https://jobs.zalando.com/en/jobs/4889363-store-manager-all-genders-mannheim/
Retail Trainer (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4925379-retail-trainer-all-genders/
Retail Audit Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4927296-retail-audit-manager-all-genders/
(Senior) Success Manager Marketplace (m/f/d),Professional Level,"London, Cheltenham, Ansbach",https://jobs.zalando.com/en/jobs/4930487--senior-success-manager-marketplace-m-f-d/
Working Student Strategic Employee Relations (all genders),Early Careers - Internships & Working Students,Berlin,https://jobs.zalando.com/en/jobs/4937244-working-student-strategic-employee-relations-all-genders/
Senior HR Business Partner (all genders) Logistics,Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4937252-senior-hr-business-partner-all-genders-logistics/
Senior P&O Business Partner Finance (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4968091-senior-p-o-business-partner-finance-all-genders/
Head of Finance (m/f/d),Leadership,Ansbach,https://jobs.zalando.com/en/jobs/4939301-head-of-finance-m-f-d/
Software Engineer - Product Data Quality,Professional Level,Dublin,https://jobs.zalando.com/en/jobs/4940307-software-engineer-product-data-quality/
Principal Product Manager - Customer Care Technology (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4943184-principal-product-manager-customer-care-technology-all-genders/
Senior Process Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4948130-senior-process-manager-all-genders/
Senior Backend Engineer - Purchase Risk Management (All Genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4955821-senior-backend-engineer-purchase-risk-management-all-genders/
Sales Manager (m/f/d),Professional Level,Ansbach,https://jobs.zalando.com/en/jobs/4955846-sales-manager-m-f-d/
Principal Product Manager - Plus Benefits (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4964495-principal-product-manager-plus-benefits-all-genders/
Senior Applied Scientist - Retail Forecast (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4964632-senior-applied-scientist-retail-forecast-all-genders/
Principal Program Manager (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4983604-principal-program-manager-all-genders/
Senior Manager Financial Reporting Entities (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4970861-senior-manager-financial-reporting-entities-all-genders/
Verkäufer (all genders) Teilzeit in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974159-verk-ufer-all-genders-teilzeit-in-bielefeld/
Sales Assistant (all genders) Part Time in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974459-sales-assistant-all-genders-part-time-in-bielefeld/
Lagerist (all genders) Teilzeit in Bielefeld,"Entry Level, Professional Level",Bielefeld,https://jobs.zalando.com/en/jobs/4974169-lagerist-all-genders-teilzeit-in-bielefeld/
HR Business Partner / Personalreferent (all genders) Zalando Logistics Erfurt,Professional Level,Erfurt,https://jobs.zalando.com/en/jobs/4986344-hr-business-partner-personalreferent-all-genders-zalando-logistics-erfurt/
Buyer Sports (all genders),Professional Level,Berlin,https://jobs.zalando.com/en/jobs/4721935-buyer-sports-all-genders/
